name	strict	exception	1y_tr	1y_pnl	1y_pdd	2y_pnl	2y_pdd	10y_pnl	10y_pdd	d1_pnl	d2_pnl	d10_pnl
r4c_062_km02_tight_h7_sm0p0388_sl0p0192	1	1	701	14067.14	0.9865	15701.05	1.0048	-55333.71	-0.8612	799.84	1025.51	877.77
r4c_065_km02_tight_h7_sm0p039_sl0p0192	1	1	702	14034.94	0.9842	15691.86	1.0039	-55617.21	-0.8624	767.63	1016.32	594.26
r4c_068_km02_tight_h7_sm0p0392_sl0p0192	1	1	702	14023.78	0.9831	15666.73	1.0023	-55621.99	-0.8625	756.48	991.20	589.49
r4c_071_km02_tight_h7_sm0p0394_sl0p0192	1	1	703	14015.28	0.9825	15652.66	1.0010	-55637.08	-0.8626	747.97	977.12	574.39
r4c_074_km03_tight_h3_sm0p0388_sl0p0192	1	1	711	14383.39	1.1058	15374.80	0.9605	-55742.15	-0.8626	1116.09	699.26	469.32
r4c_077_km03_tight_h3_sm0p039_sl0p0192	1	1	712	14355.51	1.1031	15340.89	0.9579	-55747.23	-0.8627	1088.21	665.35	464.25
opt1_016_neutral_atr_compress_r3_hybrid_mid_o2_mid	0	0	703	9216.12	0.8550	10156.85	0.7548	-49167.66	-0.8627	-4051.19	-4518.69	7043.81
r4a_106_h5_sm0p039_sl0p0192_entry_permission	0	0	703	9216.12	0.8550	10156.85	0.7548	-49167.66	-0.8627	-4051.19	-4518.69	7043.81
r4a_108_h5_sm0p039_sl0p0192_state_permission	0	0	703	9216.12	0.8550	10156.85	0.7548	-49167.66	-0.8627	-4051.19	-4518.69	7043.81
r4a_107_h5_sm0p039_sl0p0192_state_off	0	0	703	9216.12	0.8550	10156.85	0.7548	-49167.66	-0.8627	-4051.19	-4518.69	7043.81
r4a_011_h4_sm0p0385_sl0p0192_state_off	0	0	701	9214.81	0.8564	9882.57	0.7301	-49201.82	-0.8627	-4052.49	-4792.97	7009.66
r4a_009_h4_sm0p0385_sl0p0192_entry_off	0	0	701	9214.81	0.8564	9882.57	0.7301	-49201.82	-0.8627	-4052.49	-4792.97	7009.66
r4a_010_h4_sm0p0385_sl0p0192_entry_permission	0	0	701	9214.81	0.8564	9882.57	0.7301	-49201.82	-0.8627	-4052.49	-4792.97	7009.66
r4a_012_h4_sm0p0385_sl0p0192_state_permission	0	0	701	9214.81	0.8564	9882.57	0.7301	-49201.82	-0.8627	-4052.49	-4792.97	7009.66
r4c_080_km03_tight_h3_sm0p0392_sl0p0192	1	1	712	14349.28	1.1025	15326.46	0.9569	-56039.96	-0.8640	1081.98	650.92	171.51
r4c_083_km03_tight_h3_sm0p0394_sl0p0192	0	1	713	14335.07	1.1014	15317.22	0.9564	-56312.95	-0.8653	1067.77	641.68	-101.48
r4c_075_km03_tight_h3_sm0p0388_sl0p0194	0	1	702	13613.25	1.0344	15542.57	0.9321	-57250.56	-0.8694	345.94	867.03	-1039.08
r4c_078_km03_tight_h3_sm0p039_sl0p0194	0	1	702	13595.27	1.0327	15522.45	0.9307	-57261.71	-0.8695	327.97	846.91	-1050.23
r4c_081_km03_tight_h3_sm0p0392_sl0p0194	0	1	702	14139.36	1.0693	15492.62	0.9288	-57281.30	-0.8696	872.05	817.08	-1069.83
r4c_084_km03_tight_h3_sm0p0394_sl0p0194	0	0	702	14125.22	1.0676	15476.47	0.9276	-57301.98	-0.8698	857.91	800.93	-1090.50
r4b_023_aggressive_trend_bias_rz_off_ov_mid_st_med	0	0	710	13018.10	0.9229	14296.81	0.8870	-57487.88	-0.8750	-249.21	-378.73	-1276.40
r4b_020_aggressive_trend_bias_rz_off_ov_tight_st_med	0	0	710	13018.10	0.9229	14296.81	0.8870	-57487.88	-0.8750	-249.21	-378.73	-1276.40
r4b_029_aggressive_trend_bias_rz_atr_soft_ov_mid_st_med	0	0	710	13018.10	0.9229	14296.81	0.8870	-57487.88	-0.8750	-249.21	-378.73	-1276.40
r4b_026_aggressive_trend_bias_rz_atr_soft_ov_tight_st_med	0	0	710	13018.10	0.9229	14296.81	0.8870	-57487.88	-0.8750	-249.21	-378.73	-1276.40
